Permit,Short Description,Info Link Title,Info Link,Information ,Business Type(s),Tag(s),Issuing Department(s),Agency Type,Cost Amount,Cost Link Title,Cost Link,Access Online Name,Access Online Link,Form Name 1,Form Link 1,Form Name 2,Form Link 2,Form Name 3,Form Link 3,Form Name 4,Form Link 4,Form Name 5,Form Link 5,Form Name 6,Form Link 6,Form Name 7,Form Link 7,Form Name 8,Form Link 8,Form Name 9,Form Link 9,Form Name 10,Form Link 10,Form Name 11,Form Link 11,Form Name 12,Form Link 12,Form Name 13,Form Link 13,Form Name 14,Form Link 14,Form Name 15,Form Link 15,Form Name 16,Form Link 16
Non-Profit Enterprise (NPE) Re-Certification,"Re-certifies your non-profit to do business with the City of San Francisco, giving you preference when bidding on certain contracts.",Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this re-certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION. ",,Non Profit Certification*City Vendor*City Contracts*Doing Business with City Government*Government Contracts*Local Non-Profit Certification*Nonprofit Certificate,SF Contract Monitoring Division,City,,,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,NPE Re-Certification Application,http://sfgsa.org/modules/showdocument.aspx?documentid=9828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business Administration (SBA) Certification,"Gives you preference when bidding on certain contracts with the San Francisco city government, as well as the State of California and the US. Government.",Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION. ",,Small Business Certification*City State Federal Vendor*City State Federal Contracts*Doing Business with City State Federal Government*Government Contracts*Small Business Certificate,SF Contract Monitoring Division,City,,,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,SBA uses same LBE Certification Application,http://sfgsa.org/modules/showdocument.aspx?documentid=9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Business Administration (SBA) Re-Certification,"Re-certifies you to do business with the City of San Francisco, State of California, and US Government, giving you preference when bidding on certain contracts.",Contract Monitoring Division submittal instructions.,http://sfgsa.org/modules/showdocument.aspx?documentid=10863,"To apply for this re-certification online, you must create an account in the LBE Certification System.

To submit a hardcopy application, the application form MUST BE MAILED OR HAND DELIVERED WITH ALL SUPPORTIVE DOCUMENTATION. ",,Small Business Certification*City State Federal Vendor*City State Federal Contracts*Doing Business with City State Federal Government*Government Contracts*Small Business Certificate,SF Contract Monitoring Division,City,,,,LBE Online Certification System,http://www.sfgsa.org/index.aspx?page=6130,SBA uses same LBE Re-Certification Application,http://sfgsa.org/modules/showdocument.aspx?documentid=9830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sign Permit,"Required for most business signs. Includes fabricated and hanging signs, as well as signs that have been painted directly on a building.",,,"IN PERSON ONLY 

Sign Permits (available from the Department of Building Inspection) are required for most business signs. This includes signs painted directly on walls as well as fabricated signs hung on a wall or projecting from a building.

Though DBI issues the permit, the Planning Department has a detailed How-To Guide for Signs <http://www.sf-planning.org/index.aspx?page=2813>.

Directions
To obtain a sign permit application, or building permit, visit the Department of Building Inspection (DBI) at 1660 Mission Street, San Francisco, CA 94103.",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Towing Company*Parking Lots & Garages*Auto Wrecker*Child Care Services*Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*General Building Contractor*General Engineering Contractor*Specialty Contractor*Nightclub*Bowling Alley*Bar*Bakery*Cafe or Deli*Candy Store*Chocolatier*Corner Store*Grocery Market*Ice Cream Shop*Winery/Brewery*Restaurant*Dentist Office*Doctor's Office*Health Clinic*Medical Marijuana Dispensary*Pharmacy*Skilled Nursing Facility*Food Manufacturing*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Laundry/Dry Cleaning*Gym & Yoga Studio*Hair/Nail Salon*Tattoo & Piercing Parlor*Massage Establishment*Dog Kennel*Pet Hospital*Pet Shop*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Pawn Shop*Tobacco Sales*Bed & Breakfast* Hotel,Business Sign*Neon Sign*Painted Sign*Hanging Sign*Banner*Awnings,SF Department of Building Inspection,City,,Fee Schedule,http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacant & Abandoned Building Registration,"Owners of vacant or abandoned buildings are required to register the building with the Department of Building Inspection annually, maintain the grounds and interior/exterior of the building, and display the proper signage.",See Original Ordinance 194-09,http://sfdbi.org/sites/sfdbi.org/files/migrated/FileCenter/Documents/Inspection_Services/Letter_for_Registration_of_Vacant_Abandon_Bldg_September_2013.pdf,"If you are a property owner and your building and property is vacant or abandoned, you are required to 
register by completing an application and submitting annual registration fees to the Department of 
Building Inspection pursuant to Ordinance 194-09. In addition, you need to maintain and secure your 
property, even if partially unoccupied, to prevent blight and public safety hazards. 

As a property owner, it is your responsibility to: 
 
1. Fully complete the registration and submittal of the vacant or abandoned building application with filing 
fees in the amount of $765.00 within 30 days of building/property vacancy or abandonment. 
 
2. Application completion requires submitting owner and agent contact information, describing how 
property has been secured against unauthorized entry, designating any future plans for the property, 
and providing fire and liability insurance coverage information. 
 
3. Maintain the building interior in a manner which prevents damage by the elements or from plumbing 
leaks, free from accumulation of garbage and other debris, and free from infestation from rodents, 
insects or other pests. 
 
4. Maintain the exterior of the building and grounds in continual compliance with all applicable codes and 
regulations so as to prevent blight. This shall include the maintenance of landscaping and plant 
materials in good condition; the regular removal of all trash, debris and graffiti; a safe structure which 
preserves physical integrity including paint and finishes, foundation, roof, chimneys, flues, gutters, 
downspouts, scuppers, flashing, skylights, windows, and exterior stairs and decks; prevention of 
criminal activity on premises and trespass by unauthorized persons; and the shut off of utilities not 
necessary for building maintenance. 
 
5. Post a sign at the front of the building or property in a conspicuous location protected from the 
weather that provides the current name, address and phone number of the owner of record and 
authorized agent, if different from owner. If a notice of default or foreclosure has been recorded for the 
property, the lender’s name, address and telephone number must also be provided. Signage shall be 
no smaller than 8-1/2 by 11 inches. 
 
6. Renew vacant or abandoned building application with payment of fees the beginning of each calendar 
year. 
 
FAILURE TO COMPLY WITH ANY OF THESE REQUIREMENTS WILL INITIATE ENFORCEMENT 
PROCEEDINGS, WHICH MAY RESULT IN THE ACCRUAL OF NINE TIMES FEE PENALTIES, INITIAL 
ANNUAL REGISTRATION FEE OF $765.00 TIMES NINE, OR $6885.00.",Real Estate Agency*Residential Leasing*Landlord,Empty Building*Empty Storefront*No Tennant,SF Department of Building Inspection,City,$765,,,,,Application for Vacant or Abandoned Building Registration,http://sfdbi.org/sites/sfdbi.org/files/migrated/FileCenter/Documents/forms/Inspection_Services/Application_for_Registration_of_VacantAbandon_Bldg_September_2013.pdf,Vacant Building Annual Registration (signage),http://sfdbi.org/sites/sfdbi.org/files/migrated/FileCenter/Documents/Inspection_Services/20110719signage.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Permit ,"Permit required for any additions, alterations, or repairs to a building, and electrical wiring and plumbing installations.",,,"Instructions: Please visit the Department of Building Inspection at 1660 Mission Street, San Francisco, CA 94103 to pick up and complete the Application For Permit Additions, Alterations, or Repairs (BLDG. FORM 3/8). DBI staff members are onsite to answer any questions and assist you with the permitting process. 

Available in-person ONLY",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Towing Company*Parking Lots & Garages*Auto Wrecker*Child Care Services*Adult Day Care*Assisted Living Facility*Elder Care Services*Home Health Agency*General Building Contractor*General Engineering Contractor*Specialty Contractor*Nightclub*Bowling Alley*Bar*Bakery*Cafe or Deli*Candy Store*Chocolatier*Corner Store*Grocery Market*Ice Cream Shop*Winery/Brewery*Restaurant*Dentist Office*Doctor's Office*Health Clinic*Medical Marijuana Dispensary*Pharmacy*Skilled Nursing Facility*Food Manufacturing*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Laundry/Dry Cleaning*Gym & Yoga Studio*Hair/Nail Salon*Tattoo & Piercing Parlor*Massage Establishment*Dog Kennel*Pet Hospital*Pet Shop*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Pawn Shop*Tobacco Sales*Bed & Breakfast* Hotel,Construction*Planning*Building*Alteration*Fix*Remodeling,SF Department of Building Inspection,City,,DBI Permit Fees,http://sfdbi.org/fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massage Practitioner License,Allows trained and qualified massage professionals to charge for massage services,Learn more about DPH General and Advanced Massage License Requirements,http://www.sfdph.org/dph/EH/Massage/genlLic.asp,"Step 1. Application (DPH)
To apply for a massage license, you must submit the following to DPH:
Completed Massage Practitioner Application
Photo ID (Eg. driver's license, identification card, passport or INS card. Applicant must be at least 18 years of age.)
Original diploma(s) from a California massage school, approved by the CA Department of Consumer Affairs. 
Application fee payable to San Francisco Department of Public Health. Non-refundable, check or money order ONLY.
Request for verification of massage license (Only must be completed if you practiced massage in another state.)

Note: Proof of training hours must be on the diploma or appropriate official school issued transcript. General requires a minimum of 100 hours. Advanced required a minimum of 200 hours. Out of State Applicants must submit an original diploma and official transcripts from a recognized massage school. Foreign graduates of massage must have their diplomas authenticated by the Consulate or Embassy of the Country of Origin, or have their diploma and transcripts evaluated by a foreign credential evaluation service.

Step 2. Background Check (Police)
Visit the Police Department in person to submit the following:
Background Check and Clearance for Massage Applicant
Service Charge fee payable to San Francisco Police Department. Non-refundable, check or money order ONLY.

Note: There are no appointments for the SFPD background check, so arrive early. Expect a waiting time of one (1) or more hours at SFPD. SFPD sends completed background check results to DPH in approximately 4-6 weeks. Background check expires after three (3) months.

Step 3. Exam (DPH)
You will be notified and scheduled to take the massage practitioner exam when your file is complete. There are no drop-ins and no waiting list, so if you are unable to attend your specified exam date, notify DPH immediately. You will be allotted 1 hour to complete the exam though the whole process may take up to 2 hours. 

On the day of the exam, bring the following:
Photo ID (Eg. driver's license, passport, or ID card)
License fee payable to San Francisco Department of Public Health. Non-refundable, check or money order ONLY.

Step 4. Obtain License (TTX)
If you pass your exam (minimum score of 70%), you must visit the Office of the Treasurer and Tax Collector to obtain your Practicioner License and Photo ID.

",Massage Establishment,Massage Parlor*Massage Chair*Foot Massage*Spa*Day Spa*Shoulder Massage*Scalp Massage,SF Department of Public Health,City,,DPH Fee Schedule,https://www.sfdph.org/dph/EH/Fees.asp#massage,,,Application for Massage Practitioner,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassPractApp.pdf,Application for Permit to Operate a Massage Establishment ,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassEstabApp.pdf,Declaration of Exemption from Massage Permit for Establishments Employing Only State-certified Massage Practitioners,http://www.sfdph.org/dph/files/EHSdocs/ehsMassagedocs/MassagePermitExemptionDeclaration.pdf,Request for Verification of Massage License,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassReqVerLic.pdf,Background Check & Clearance for Massage Applicant,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassSFPDLetter.pdf,How to Obtain a Massage Practitioner (Advanced or General) Permit,http://www.sfdph.org/dph/files/EHSdocs/ehsMassagedocs/masspermit.pdf,,,,,,,,,,,,,,,,,,,,
Massage Establishment & Solo Massage Establishment Permit,Allows permitholder to operate a general massage or solo practitioner massage establishment.,Directions and Additional Information: Massage Establishment & Solo Massage Establishment Permit Homepage,https://www.sfdph.org/dph/EH/Massage/establishment.asp,Note: Be sure to print and submit three (3) completed copies of the Referral to Planning/Zoning.,Massage Establishment,Massage Parlor*Massage Chair*Foot Massage*Spa*Day Spa*Shoulder Massage*Scalp Massage,SF Department of Public Health,City,,Environmental Health Fee Schedule,https://www.sfdph.org/dph/EH/Fees.asp#massage,,,Application for Permit to Operate a Massage Establishment ,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassEstabApp.pdf,Declaration of Exemption from Massage Permit for Establishments Employing Only State-certified Massage Practitioners,http://www.sfdph.org/dph/files/EHSdocs/ehsMassagedocs/MassagePermitExemptionDeclaration.pdf,Background Check & Clearance for Massage Applicant,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassSFPDLetter.pdf,Zoning Referral for Health Permit,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/ZoningReferral0912.pdf,Fire Department Information Bulletin,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/new/FireMarshalBulletin.pdf,Department of Building Inspection Referral Form,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassDBIRefLetter.pdf,Workers' Compensation Declaration for Regulated Business,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassBusPlan.pdf,Business Plan,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsMassage/MassPractList.pdf,Practitioners List,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/new/FireMarshalForm.pdf,Referral to Fire Marshall,http://www.sfdph.org/dph/files/EHSdocs/ehsMassagedocs/Affidavit.pdf,Planning Affidavit,,,,,,,,,,,
"Health Permit to Operate a Dog Kennel, Laundromat, Pet Shop, or Pet Hospital","Certifies you to operate a laundromat, dog kennel, pet shop, or pet hospital.",Please see the “Food Safety Program: Other Permits”  steps for permit application,http://www.sfdph.org/dph/EH/Food/Permits/permitOther.asp,"Step 1
Print and fill out the following three forms:
Application for permit to operate or certificate of sanitation (pdf)
Zoning referral (pdf)
Fire marshal application (pdf)

Step 2
Send all of the above forms and include a permit fee (see the Fee Schedule) to DPH

Step 3
Fill out the Referral Inspection Request for a Fire Department Inspection and send this form to the San Francisco Fire Department. The address is listed on the form.

Step 4
Once the applications are received, an inspector will contact you.

",Dog Kennel*Pet Shop*Pet Hospital*Laundry/Dry Cleaning,Pet Kennel*Pet Hotel*Pet Store*Vet*Veterinarian*Laundry Facility*Coin Operated*Wash and Fold,SF Department of Public Health,City,,Environmental Health Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp,,,Application for Permit  to Operate or Certificate of Sanitation,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/permit_to_operate.pdf,Environmental Health Zoning Referral for Health Permit ,http://www.sfdph.org/dph/EH/Fees.asp,Environmental Health Fire Marshall Referral Form,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/new/FireMarshalBulletin.pdf,Referral Inspection Request for a Fire Department Inspection,http://www.sfdph.org/dph/files/EHSdocs/ehsFood/permitsdocs/FireMarshalBulletin.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Certified Backflow Assembly Tester Permit to Operate,"Required to operate as a backflow prevention tester, testing potential connections between potable water and a source of contamination.",Environmental Health Water Quality: Cross Connection Control Program Page,http://www.sfdph.org/dph/eh/CrossFlow/default.asp,"A cross connection is a potential connection between a potable water system and a source of contamination, such as waste water, where backflow can occur from the source of contamination and cause a serious public health hazard. The Environmental Health Section certifies backflow prevention testers and inspects for cross connections in the City to ensure San Francisco residents have clean and safe potable water.
Backflow Prevention Tester Certification

Please submit the following to obtain a Permit to Operate as a Certified Backflow Prevention Assembly Tester.
Completed Application Form (pdf)
A non-refundable application fee in the form of a check or money order made payable to the S.F. Department of Public Health
A photocopy of current Test Equipment Calibration Certificate.
A photocopy of your current Certificate of Competency - Backflow Prevention Assembly General Tester from American Water Works Association (AWWA), American Society of Sanitary Engineers (ASSE), American Backflow Prevention Association (ABPA), or Northern California Backflow Prevention Association (NCBPA).

Note: An original Certificate of General Liability Insurance, minimum $100,000 General Liability with the following information:
Name of Tester holding the valid Certificate of Competency from AWWA, ASSE, ABPA, or NCBPA.
The Certificate of Insurance must contain the following language: ""The City and County of San Francisco, its Officers and Employees, are named as additional insured pursuant to all operations performed for them by the named insured.""
The Certificate Holder shall be the San Francisco Department of Public Health, Environmental Health.

Upon submitting your application, you will take a written examination on San Francisco Health Code, Article 12A, Backflow Prevention. A score of 70% or better is required to pass the exam.

Please call (415) 252-3811 to schedule an appointment to submit your application packet and to take the exam.

Your application will be processed and the Tax Collector's Office will bill you for your annual license certificate. Once payment is received, your Permit to Operate will be mailed to you. Your Name and Company will then be added to the list of Certified Backflow Prevention Assembly Testers (pdf). This list is updated on a quarterly basis.

",Specialty Contractor,Plumbing*Plumber*Septic,SF Department of Public Health,City,,Environmental Health Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp,,,Application for Certified Backflow Assembly Tester Permit to Operate,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/CrossConn/permit_to_operate03.pdf,New Assembly Installation report,http://www.sfdph.org/dph/files/EHSdocs/ehsCrossflowdocs/NewAssemblyInstall.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterer Permit,This application packet includes the necessary forms to supply food and beverages and/or related services to any off-premises public or private function. ,Food Safety Program: Caterer Permits webpage,http://www.sfdph.org/dph/eh/Food/Caterer.asp,,Caterer,Catering*Food for Events*Special Events*Food Service*Corporate Caterer*Wedding Caterer,SF Department of Public Health,City,,Environmental Health Fee Schedule,http://www.sfdph.org/dph/EH/Fees.asp,,,Application for Food Permit to Operate or Certificate of Sanitation Permit Application Packet,https://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsCaterer/CatererPermitAppPacket2012.pdf,Catering Guidelines,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/FormsCaterer/CtrGuidelines.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighing & Measuring Device Permit,"The Weights and Measures program registers weighing or measuring devices to ensure consumer protection and rights. Applies to any business that will be using regulated weighing and measuring devices, including Point of Sale & Taxi Meters. ",Learn more about the Environmental Health Weights & Measures Program from DPH,https://www.sfdph.org/dph/EH/WeightsMeasures/default.asp,,Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Auto Wrecker*Nightclub*Bowling Alley*Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer’s Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery/Brewery*Vending Machines*Restaurant*Medical Device Sales*Medical Marijuana Dispensary*Pharmacy*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Hair/Nail Salon*Tattoo & Piercing Parlor*Massage Establishment*Pet Shop*Junk Dealer/Junkyard*Appliance Repair & Service*Electronics & Computer Repair*Photography*Online Retailer*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Street Artist*Pawn Shop*Tobacco Sales*Import/Export*Bed & Breakfast*Hotel*Taxi Company,Cash Register*Weighing Scale*Meter,SF Department of Public Health,City,,"Environmental Health Schedule of Licenses, Permits, Fines, and Service Charges",https://www.sfdph.org/dph/EH/Fees/WandM.pdf,,,Weighing & Measuring Device Permit Application,https://www.sfdph.org/dph/files/EHSdocs/WeightsMeasures/Weights_Measures_Permit_Application.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weights & Measures Automated Point of Sale Registration,Registration required for businesses that have at least one Point of Sale (POS) station. Also called a cash register. ,Learn more about Automated Point of Sale (POS) Stations from DPH,https://www.sfdph.org/dph/files/EHSdocs/WeightsMeasures/InfoAutoPointofSaleStation.pdf,,Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility*Auto Wrecker*Nightclub*Bowling Alley*Bar*Alcohol/Beer & Wine Distributor*Alcohol/Beer & Wine Importer*Bakery*Cafe or Deli*Candy Store*Caterer*Chocolatier*Corner Store*Farmer’s Market Booth*Food Manufacturing*Grocery Market*Ice Cream Shop*Mobile Food Truck*Winery/Brewery*Vending Machines*Restaurant*Medical Device Sales*Medical Marijuana Dispensary*Pharmacy*Animal Food Manufacturing*Clothing & Apparel Manufacturing*Jewelry Manufacturing*Hair/Nail Salon*Tattoo & Piercing Parlor*Massage Establishment*Pet Shop*Junk Dealer/Junkyard*Appliance Repair & Service*Electronics & Computer Repair*Photography*Online Retailer*Antique Shop*Art Gallery*Book Store*Bicycle Shop*Clothing Store*Electronic Sales*Florist*Furniture Store*Jeweler*Print & Photocopy Shop*General Retail*Street Artist*Pawn Shop*Tobacco Sales*Import/Export*Bed & Breakfast*Hotel,Cash Register*Weighing Scale,SF Department of Public Health,City,,Automated Point of Sale (POS) Permits and Fees PDF,https://www.sfdph.org/dph/files/EHSdocs/WeightsMeasures/InfoAutoPointofSaleStation.pdf,,,Weights & Measures Automated Point of Sale Registration Form,https://www.sfdph.org/dph/files/EHSdocs/WeightsMeasures/Point_Of_Sale_Registration_Form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporary Food Facility at Special Events Permit,Certifies individual food facility (e.g. food booth) to operate at a temporary event.,Learn more about the DPH Environmental Health Food Safety Program for Temporary Food Facilities (TFF),http://www.sfdph.org/dph/EH/Food/Permits/permitSpecEvents.asp,"In order to sell food at a special event in San Francisco, you must obtain a Temporary Food Facility (TFF) permit. Each TFF requires a permit in addition to the permit obtained by the sponsor controlling the event. The sponsor is responsible for compliance at each event as well as the timely submission of all applications, fees and site plan. To help calculate the total fees due, review the fee worksheet. 

The event sponsor is responsible for filling out the Sponsor Organizer Application form, and for submitting both this form and your Food Concessionaire Application to the Department of Public Health (DPH)",,Temporary Food Permit*Special Events*Food Service,SF Department of Public Health,City,,Temporary Food Facilities Worksheet,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/SP_FeeWorkSheet.pdf,,,Temporary Food Facility (TFF) Concessionaire Application,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/food_conc_app.pdf,Sponsor Application,http://www.sfdph.org/dph/files/EHSdocs/ehsForms/formsSpecialEvents/spec_spon_app.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health Above Ground Petroleum Storage Permit,"Allows you to keep a tank of gas for your business, such as the kind you might use for a taxi or a truck. ",Learn more about Hazardous Materials & Waste Program: Aboveground Petroleum Storage,http://www.sfdph.org/dph/eh/HMUPA/APSA.asp,"Above Ground Petroleum Storage is regulated at both the city and state level, subject to the Aboveground Petroleum Storage Act. Since petroleum products are a subset of hazardous materials, all businesses regulated under the Aboveground Petroleum Storage Program must apply for and obtain a valid Hazardous Materials Certificate of Registration through the California Environmental Reporting System (CERS). You may notify the Envirionmental Health Hazardous Materials & Waste Program before or after applying through CERS. Prepare a Spill Prevention Control and Countermeasures (SPCC) Plan. The SPCC Plan is a written plan that details the procedures, equipment, and workforce commitment necessary for a business to prevent and contain oil discharges from their facility.       ",Commercial Transportation/Trucking*Hazardous Materials Transportation*Shipping*Airport Passenger Transportation*Limousine Services*Taxi Company*Vehicle Rental,,SF Department of Public Health,City,,Above-Ground Storage Tank Fee Schedule,http://www.sfdph.org/dph/EH/Fees/AST.pdf,California Environmental Reporting System (CERS),https://cersbusiness2.calepa.ca.gov/Account/SignIn?ReturnUrl=%2f,Tier I Qualified Facility EPA Spill Prevention Control and Countermeasures (SPCC) Plan,http://www.sfdph.org/dph/files/EHSdocs/ehsHMUPAdocs/TIERIQFSPCCPlan.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health Hazardous Materials Registration,"Registration ensures that hazardous waste is stored safely, legally managed, and disposed of properly.",Learn more about Hazardous Materials Registration from DPH,http://www.sfdph.org/dph/EH/HMUPA/HMRegistration.asp,"If you open a new business and plan to store or use hazardous materials on site, notify the Hazardous Materials and Waste Program within 30 days.
Submit forms and pay fees to obtain a Certificate of Registration.
Maintain the Certificate of Registration by submitting renewal forms and paying fees annually.

See also Environmental Health Hazardous Waste Generator Permit",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility* *Laundry/Dry Cleaning* Hair/Nail Salon* Pet Hospital* Commercial Transportation/Trucking*Hazardous Materials Transportation,,SF Department of Public Health,City,,Hazardous Materials and Waste Registration Fee Schedule,http://www.sfdph.org/dph/EH/Fees/HazMat.pdf,California Environmental Reporting System (CERS),http://cers.calepa.ca.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health Hazardous Waste Generator Permit,"Registration ensures that hazardous waste is stored safely, legally managed, and disposed of properly.",Learn more about Hazardous Waste Generation Registration from DPH,http://www.sfdph.org/dph/EH/HMUPA/HazardousWaste.asp,"If you open a new business and plan to store or use hazardous materials on site, notify the Hazardous Materials and Waste Program within 30 days.
Submit forms and pay fees to obtain a Certificate of Registration.
Maintain the Certificate of Registration by submitting renewal forms and paying fees annually.

See also Environmental Health Hazardous Materials Storage and Use Registration",Auto Body & Paint Shop*Auto Dealer*Auto Detailing*Auto/Motorcycle Mechanic*Brake & Tire Shop*Smog Check Facility* *Laundry/Dry Cleaning* Hair/Nail Salon* Pet Hospital* Commercial Transportation/Trucking*Hazardous Materials Transportation,,SF Department of Public Health,City,,Hazardous Waste Generator Fee Schedule,http://www.sfdph.org/dph/EH/Fees/HWGen.pdf,California Environmental Reporting System (CERS),http://cers.calepa.ca.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Health Underground Storage Tank (UST) Permit,"The Hazardous Materials and Waste Program provides regulatory oversight for the construction, operation, repair and removal of underground storage tanks (UST) in San Francisco. The purpose of the regulation is to prevent releases of petroleum and other hazardous substances stored in USTs.",Learn more about the Undergroun Storage Tank Permit from DPH,http://www.sfdph.org/dph/EH/HMUPA/UST.asp,"Owners and/or operators of USTs are required to obtain a UST operating permit. Tank Operating permits are incorporated into the hazardous materials business plan program and issued as part of the Hazardous Materials Certificate of Registration.  To obtain a permit to operate a UST, visit the California Environmental Reporting System (CERS).

A permit application package must be submitted within thirty (30) days of installing a new UST system or changing the owner/operator of an UST site. An existing permit to operate the USTs at a given location may not be transferred to a new owner/operator.

Note: If your business falls under the requirements of any of the other Hazardous Waste program elements, those forms must also be submitted along with the required forms.
If you received an application and you have changed your business so that you no longer fall into ANY of the regulated programs, you must complete at Disclaimer Form (pdf). Upon receipt of the Disclaimer Form, a Hazardous Materials and Waste Program inspector will conduct an inspection to verify the disclaimer.",,Gas Station,SF Department of Public Health,City,,Hazardous Materials and Waste Program Underground Storage Fee Schedule,http://www.sfdph.org/dph/EH/Fees/UST.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
